contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
AAPL260508C00165000,2026-04-07 14:26:28+00:00,165.0,84.21,106.65,109.7,0.0,0.0,,1,1.3623078759765623,True,REGULAR,USD,call,2026-05-08,108.17500000000001,3.049999999999997
AAPL260508C00170000,2026-03-27 18:21:47+00:00,170.0,80.34,101.7,104.7,0.0,0.0,35.0,35,1.29297228515625,True,REGULAR,USD,call,2026-05-08,103.2,3.0
AAPL260508C00185000,2026-04-14 14:39:29+00:00,185.0,74.85,87.0,89.75,0.0,0.0,2.0,38,1.105961501464844,True,REGULAR,USD,call,2026-05-08,88.375,2.75
AAPL260508C00190000,2026-04-23 13:40:05+00:00,190.0,85.22,82.0,84.75,4.880005,6.074191,4.0,4,1.0419969775390627,True,REGULAR,USD,call,2026-05-08,83.375,2.75
AAPL260508C00195000,2026-04-20 17:09:42+00:00,195.0,77.67,77.0,79.8,0.0,0.0,1.0,3,0.9897461962890625,True,REGULAR,USD,call,2026-05-08,78.4,2.799999999999997
AAPL260508C00200000,2026-04-20 18:32:21+00:00,200.0,73.7,72.05,74.8,0.0,0.0,1.0,17,0.9282233740234375,True,REGULAR,USD,call,2026-05-08,73.425,2.75
AAPL260508C00205000,2026-04-17 17:07:55+00:00,205.0,66.98,67.05,69.85,0.0,0.0,56.0,23,0.8764660791015625,True,REGULAR,USD,call,2026-05-08,68.44999999999999,2.799999999999997
AAPL260508C00210000,2026-04-23 13:36:17+00:00,210.0,65.63,62.1,64.85,3.0299988,4.840254,2.0,35,0.8164080859374999,True,REGULAR,USD,call,2026-05-08,63.474999999999994,2.749999999999993
AAPL260508C00215000,2026-04-21 16:07:30+00:00,215.0,52.24,57.1,59.9,0.0,0.0,10.0,16,0.7651390673828126,True,REGULAR,USD,call,2026-05-08,58.5,2.799999999999997
AAPL260508C00220000,2026-04-21 16:07:30+00:00,220.0,47.31,52.15,54.95,0.0,0.0,10.0,105,0.7136259106445313,True,REGULAR,USD,call,2026-05-08,53.55,2.8000000000000043
AAPL260508C00225000,2026-04-22 19:50:52+00:00,225.0,48.33,47.15,50.35,0.0,0.0,1459.0,1461,0.7050810742187501,True,REGULAR,USD,call,2026-05-08,48.75,3.200000000000003
AAPL260508C00230000,2026-04-21 13:37:36+00:00,230.0,41.9,42.3,45.1,0.0,0.0,3.0,35,0.6154823608398439,True,REGULAR,USD,call,2026-05-08,43.7,2.8000000000000043
AAPL260508C00235000,2026-04-23 15:24:40+00:00,235.0,40.35,37.45,39.75,2.3099976,6.072549,6.0,47,0.5148974291992188,True,REGULAR,USD,call,2026-05-08,38.6,2.299999999999997
AAPL260508C00240000,2026-04-22 14:17:57+00:00,240.0,32.3,32.5,35.65,0.0,0.0,1.0,495,0.5507857421875001,True,REGULAR,USD,call,2026-05-08,34.075,3.1499999999999986
AAPL260508C00245000,2026-04-23 14:06:57+00:00,245.0,30.16,28.6,30.1,5.9699993,24.679617,20.0,81,0.43921459228515625,True,REGULAR,USD,call,2026-05-08,29.35,1.5
AAPL260508C00250000,2026-04-23 17:58:30+00:00,250.0,24.01,24.3,25.1,-0.45999908,-1.8798492,11.0,1159,0.38013315185546875,True,REGULAR,USD,call,2026-05-08,24.700000000000003,0.8000000000000007
AAPL260508C00255000,2026-04-23 17:58:30+00:00,255.0,19.55,18.9,20.8,0.1099987,0.5658369,11.0,452,0.3717103845214844,True,REGULAR,USD,call,2026-05-08,19.85,1.9000000000000021
AAPL260508C00260000,2026-04-23 17:42:06+00:00,260.0,14.95,15.8,16.25,-0.9000006,-5.678237,69.0,1163,0.33222103332519537,True,REGULAR,USD,call,2026-05-08,16.025,0.4499999999999993
AAPL260508C00262500,2026-04-23 17:41:31+00:00,262.5,13.3,13.65,14.4,-0.30999947,-2.277733,7.0,24,0.3320379296875,True,REGULAR,USD,call,2026-05-08,14.025,0.75
AAPL260508C00265000,2026-04-23 18:12:28+00:00,265.0,12.17,11.95,12.4,0.029999733,0.24711476,64.0,1176,0.3186103295898437,True,REGULAR,USD,call,2026-05-08,12.175,0.45000000000000107
AAPL260508C00267500,2026-04-23 17:49:11+00:00,267.5,9.83,10.25,10.75,-0.77000046,-7.264155,42.0,231,0.317389638671875,True,REGULAR,USD,call,2026-05-08,10.5,0.5
AAPL260508C00270000,2026-04-23 18:07:48+00:00,270.0,8.84,8.75,8.9,-0.09999943,-1.1185619,239.0,1956,0.3012765185546875,True,REGULAR,USD,call,2026-05-08,8.825,0.15000000000000036
AAPL260508C00272500,2026-04-23 18:10:48+00:00,272.5,7.44,7.35,7.6,-0.11000013,-1.4569554,212.0,430,0.304145142211914,True,REGULAR,USD,call,2026-05-08,7.475,0.25
AAPL260508C00275000,2026-04-23 18:08:18+00:00,275.0,6.1,6.0,6.15,-0.20000029,-3.1746075,357.0,4992,0.29407444213867184,False,REGULAR,USD,call,2026-05-08,6.075,0.15000000000000036
AAPL260508C00277500,2026-04-23 18:04:34+00:00,277.5,4.94,4.9,5.15,-0.1500001,-2.9469566,140.0,76,0.2974923767089843,False,REGULAR,USD,call,2026-05-08,5.025,0.25
AAPL260508C00280000,2026-04-23 18:15:07+00:00,280.0,4.0,3.95,4.0,-0.30999994,-7.1428556,600.0,3532,0.2876047802734374,False,REGULAR,USD,call,2026-05-08,3.975,0.04999999999999982
AAPL260508C00282500,2026-04-23 18:04:34+00:00,282.5,3.2,3.1,3.3,-0.25,-7.2463765,159.0,476,0.2921213366699218,False,REGULAR,USD,call,2026-05-08,3.2,0.19999999999999973
AAPL260508C00285000,2026-04-23 18:04:51+00:00,285.0,2.46,2.46,2.55,-0.21000004,-7.8651695,293.0,2198,0.2880930566406249,False,REGULAR,USD,call,2026-05-08,2.505,0.08999999999999986
AAPL260508C00287500,2026-04-23 16:52:35+00:00,287.5,1.96,1.91,2.01,-0.18000007,-8.411218,83.0,81,0.28882547119140617,False,REGULAR,USD,call,2026-05-08,1.96,0.09999999999999987
AAPL260508C00290000,2026-04-23 17:55:17+00:00,290.0,1.4,1.49,1.55,-0.35000002,-20.000002,214.0,4041,0.2884592639160155,False,REGULAR,USD,call,2026-05-08,1.52,0.06000000000000005
AAPL260508C00292500,2026-04-23 17:54:57+00:00,292.5,1.15,1.14,1.23,-0.17000008,-12.878793,196.0,258,0.2919992675781249,False,REGULAR,USD,call,2026-05-08,1.185,0.09000000000000008
AAPL260508C00295000,2026-04-23 18:08:25+00:00,295.0,0.91,0.87,0.94,-0.14999992,-14.150936,264.0,1337,0.2924875439453124,False,REGULAR,USD,call,2026-05-08,0.905,0.06999999999999995
AAPL260508C00300000,2026-04-23 18:12:20+00:00,300.0,0.52,0.51,0.55,-0.110000014,-18.64407,1573.0,3536,0.295905478515625,False,REGULAR,USD,call,2026-05-08,0.53,0.040000000000000036
AAPL260508C00305000,2026-04-23 18:12:20+00:00,305.0,0.31,0.28,0.33,-0.07999998,-19.999996,354.0,1305,0.30225307128906254,False,REGULAR,USD,call,2026-05-08,0.30500000000000005,0.04999999999999999
AAPL260508C00310000,2026-04-23 18:01:46+00:00,310.0,0.18,0.16,0.2,-0.13,-41.935482,330.0,312,0.309577216796875,False,REGULAR,USD,call,2026-05-08,0.18,0.04000000000000001
