contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
AMD260508C00090000,2026-04-22 17:21:24+00:00,90.0,210.44,213.7,216.7,0.0,0.0,1.0,1,2.699222001953125,True,REGULAR,USD,call,2026-05-08,215.2,3.0
AMD260508C00095000,2026-04-17 19:56:03+00:00,95.0,183.57,208.45,211.7,0.0,0.0,1.0,1,2.4843787890625,True,REGULAR,USD,call,2026-05-08,210.075,3.25
AMD260508C00100000,2026-04-22 14:14:07+00:00,100.0,189.83,203.7,206.7,0.0,0.0,1.0,2,2.4785194287109373,True,REGULAR,USD,call,2026-05-08,205.2,3.0
AMD260508C00105000,2026-04-22 18:45:45+00:00,105.0,196.47,198.7,201.7,0.0,0.0,2.0,2,2.3750040624999995,True,REGULAR,USD,call,2026-05-08,200.2,3.0
AMD260508C00120000,2026-04-10 16:33:54+00:00,120.0,125.02,183.6,186.6,0.0,0.0,1.0,2,2.031254921875,True,REGULAR,USD,call,2026-05-08,185.1,3.0
AMD260508C00125000,2026-04-16 18:56:08+00:00,125.0,148.67,178.4,181.55,0.0,0.0,1.0,2,1.8515632421875,True,REGULAR,USD,call,2026-05-08,179.97500000000002,3.1500000000000057
AMD260508C00130000,2026-04-23 15:44:26+00:00,130.0,179.02,173.8,176.75,13.630005,8.24113,5.0,5,1.9697267138671877,True,REGULAR,USD,call,2026-05-08,175.275,2.9499999999999886
AMD260508C00135000,2026-04-22 16:02:50+00:00,135.0,161.19,168.7,171.65,0.0,0.0,5.0,5,1.8369148779296873,True,REGULAR,USD,call,2026-05-08,170.175,2.950000000000017
AMD260508C00140000,2026-04-23 16:32:17+00:00,140.0,169.43,163.7,166.85,35.579987,26.581984,2.0,8,1.8125009374999999,True,REGULAR,USD,call,2026-05-08,165.27499999999998,3.1500000000000057
AMD260508C00145000,2026-04-23 17:51:24+00:00,145.0,155.64,158.5,161.65,-2.8200073,-1.7796335,1.0,16,1.6318377783203122,True,REGULAR,USD,call,2026-05-08,160.075,3.1500000000000057
AMD260508C00150000,2026-04-23 17:51:24+00:00,150.0,150.79,153.95,156.95,0.02999878,0.019898368,1.0,12,1.7382825585937498,True,REGULAR,USD,call,2026-05-08,155.45,3.0
