contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
CL260501C00055000,2026-04-17 19:28:40+00:00,55.0,30.46,0.0,0.0,0.0,0.0,13.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00075000,2026-04-14 16:21:39+00:00,75.0,9.4,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00076000,2026-03-30 16:57:04+00:00,76.0,10.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00079000,2026-04-06 19:06:21+00:00,79.0,6.15,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00080000,2026-04-06 19:06:21+00:00,80.0,5.6,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00082000,2026-04-22 17:28:07+00:00,82.0,1.85,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00083000,2026-04-22 19:24:51+00:00,83.0,1.4,0.0,0.0,0.0,0.0,6.0,0.0,0.015634843750000002,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00084000,2026-04-22 19:59:15+00:00,84.0,1.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0312596875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00085000,2026-04-22 17:28:16+00:00,85.0,0.87,0.0,0.0,0.0,0.0,2.0,0.0,0.062509375,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00086000,2026-04-22 19:47:38+00:00,86.0,0.52,0.0,0.0,0.0,0.0,5.0,0.0,0.062509375,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00087000,2026-04-22 14:51:58+00:00,87.0,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.062509375,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00088000,2026-04-22 16:25:44+00:00,88.0,0.34,0.0,0.0,0.0,0.0,2.0,0.0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00089000,2026-04-21 19:43:31+00:00,89.0,0.16,0.0,0.0,0.0,0.0,1.0,0.0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00090000,2026-04-21 14:58:53+00:00,90.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00091000,2026-04-21 14:58:53+00:00,91.0,0.19,0.0,0.0,0.0,0.0,1.0,0.0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00092000,2026-04-17 14:44:00+00:00,92.0,0.21,0.0,0.0,0.0,0.0,1.0,0.0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00093000,2026-04-20 19:51:45+00:00,93.0,0.15,0.0,0.0,0.0,0.0,4.0,0.0,0.2500075,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00094000,2026-03-30 19:23:39+00:00,94.0,0.55,0.0,0.0,0.0,0.0,,0.0,0.2500075,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00095000,2026-03-18 17:39:21+00:00,95.0,0.92,0.0,0.95,0.0,0.0,,5.0,0.7138700488281251,False,REGULAR,USD,call,2026-05-01,0.475,0.95
CL260501C00096000,2026-03-23 13:55:38+00:00,96.0,0.25,0.0,0.0,0.0,0.0,,0.0,0.2500075,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CL260501C00100000,2026-04-20 17:36:57+00:00,100.0,0.14,,0.0,0.0,0.0,,0.0,0.2500075,False,REGULAR,USD,call,2026-05-01,,
CL260501C00115000,2026-04-20 17:36:57+00:00,115.0,0.25,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD,call,2026-05-01,,
CL260501P00070000,2026-04-21 19:03:22+00:00,70.0,0.15,0.0,0.0,0.0,0.0,78.0,0.0,0.2500075,False,REGULAR,USD,put,2026-05-01,0.0,0.0
