contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
CVX260501C00100000,2026-04-13 13:39:33+00:00,100.0,92.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00115000,2026-04-09 15:02:22+00:00,115.0,80.4,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00160000,2026-04-14 15:23:32+00:00,160.0,27.2,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00165000,2026-04-22 16:05:20+00:00,165.0,23.02,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00170000,2026-04-22 15:22:11+00:00,170.0,18.01,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00172500,2026-04-15 17:35:32+00:00,172.5,14.72,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00175000,2026-04-22 13:37:05+00:00,175.0,14.19,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00177500,2026-04-22 13:43:05+00:00,177.5,12.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00180000,2026-04-22 16:17:10+00:00,180.0,8.95,0.0,0.0,0.0,0.0,248.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00182500,2026-04-22 19:59:55+00:00,182.5,6.34,0.0,0.0,0.0,0.0,120.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00185000,2026-04-22 18:07:52+00:00,185.0,5.45,0.0,0.0,0.0,0.0,144.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00187500,2026-04-22 19:57:00+00:00,187.5,3.5,0.0,0.0,0.0,0.0,795.0,0,0.015634843750000002,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00190000,2026-04-22 19:59:16+00:00,190.0,2.5,0.0,0.0,0.0,0.0,1059.0,0,0.0312596875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00192500,2026-04-22 19:51:15+00:00,192.5,1.95,0.0,0.0,0.0,0.0,191.0,0,0.062509375,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00195000,2026-04-22 19:53:12+00:00,195.0,1.25,0.0,0.0,0.0,0.0,596.0,0,0.062509375,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00197500,2026-04-22 19:49:19+00:00,197.5,0.85,0.0,0.0,0.0,0.0,101.0,0,0.062509375,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00200000,2026-04-22 19:54:41+00:00,200.0,0.55,0.0,0.0,0.0,0.0,1264.0,0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00202500,2026-04-22 19:59:36+00:00,202.5,0.38,0.0,0.0,0.0,0.0,35.0,0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00205000,2026-04-22 19:47:56+00:00,205.0,0.32,0.0,0.0,0.0,0.0,51.0,0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00207500,2026-04-22 17:43:29+00:00,207.5,0.28,0.0,0.0,0.0,0.0,5.0,0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00210000,2026-04-22 19:59:46+00:00,210.0,0.15,0.0,0.0,0.0,0.0,173.0,0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00215000,2026-04-22 19:09:16+00:00,215.0,0.12,0.0,0.0,0.0,0.0,5.0,0,0.2500075,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00220000,2026-04-21 19:55:08+00:00,220.0,0.14,0.0,0.0,0.0,0.0,24.0,0,0.2500075,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00225000,2026-04-22 17:11:19+00:00,225.0,0.1,0.0,0.0,0.0,0.0,14.0,0,0.2500075,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00230000,2026-04-21 18:29:03+00:00,230.0,0.15,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00235000,2026-04-21 19:58:02+00:00,235.0,0.04,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00240000,2026-04-17 18:48:20+00:00,240.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00245000,2026-04-07 18:28:25+00:00,245.0,0.21,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00250000,2026-04-09 16:35:46+00:00,250.0,0.07,0.0,0.0,0.0,0.0,6.0,0,0.500005,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00255000,2026-04-02 13:30:37+00:00,255.0,1.06,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00260000,2026-03-30 13:37:46+00:00,260.0,1.5,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00265000,2026-04-09 14:32:45+00:00,265.0,0.64,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501C00270000,2026-04-09 14:32:45+00:00,270.0,1.16,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,call,2026-05-01,0.0,0.0
CVX260501P00130000,2026-04-22 16:51:11+00:00,130.0,0.01,0.0,0.0,0.0,0.0,6.0,0,0.500005,False,REGULAR,USD,put,2026-05-01,0.0,0.0
CVX260501P00135000,2026-03-16 14:22:41+00:00,135.0,0.3,0.0,1.55,0.0,0.0,,1,1.2949254003906248,False,REGULAR,USD,put,2026-05-01,0.775,1.55
CVX260501P00140000,2026-04-06 15:12:36+00:00,140.0,0.11,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD,put,2026-05-01,0.0,0.0
CVX260501P00145000,2026-04-20 13:31:18+00:00,145.0,0.01,0.0,0.0,0.0,0.0,7.0,0,0.2500075,False,REGULAR,USD,put,2026-05-01,0.0,0.0
CVX260501P00150000,2026-04-22 19:32:20+00:00,150.0,0.14,0.0,0.0,0.0,0.0,14.0,0,0.2500075,False,REGULAR,USD,put,2026-05-01,0.0,0.0
CVX260501P00155000,2026-04-02 13:30:47+00:00,155.0,0.1,0.0,0.0,0.0,0.0,5.0,0,0.2500075,False,REGULAR,USD,put,2026-05-01,0.0,0.0
CVX260501P00160000,2026-04-22 19:59:01+00:00,160.0,0.19,0.0,0.0,0.0,0.0,30.0,0,0.2500075,False,REGULAR,USD,put,2026-05-01,0.0,0.0
CVX260501P00162500,2026-04-22 18:50:53+00:00,162.5,0.15,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,put,2026-05-01,0.0,0.0
CVX260501P00165000,2026-04-22 18:06:58+00:00,165.0,0.15,0.0,0.0,0.0,0.0,68.0,0,0.12500875,False,REGULAR,USD,put,2026-05-01,0.0,0.0
