contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
F260501C00005000,2026-04-23 19:57:03+00:00,5.0,7.57,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00006000,2026-04-23 14:00:17+00:00,6.0,6.32,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00007000,2026-04-23 18:03:36+00:00,7.0,5.56,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00007500,2026-04-23 18:03:36+00:00,7.5,5.17,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00008000,2026-04-10 16:16:22+00:00,8.0,4.14,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00008500,2026-04-22 16:03:19+00:00,8.5,4.18,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00009000,2026-04-23 17:58:15+00:00,9.0,3.49,0.0,0.0,0.0,0.0,200.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00009500,2026-04-21 14:26:58+00:00,9.5,3.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00010000,2026-04-23 19:58:13+00:00,10.0,2.4,0.0,0.0,0.0,0.0,22.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00010500,2026-04-23 19:59:04+00:00,10.5,2.03,0.0,0.0,0.0,0.0,23.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00011000,2026-04-23 18:29:57+00:00,11.0,1.46,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00011500,2026-04-23 19:46:29+00:00,11.5,1.13,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00012000,2026-04-23 19:59:37+00:00,12.0,0.69,0.0,0.0,0.0,0.0,236.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00012500,2026-04-23 19:59:38+00:00,12.5,0.4,0.0,0.0,0.0,0.0,905.0,0,0.007822421875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00013000,2026-04-23 19:53:26+00:00,13.0,0.2,0.0,0.0,0.0,0.0,1889.0,0,0.062509375,False,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00013500,2026-04-23 19:56:43+00:00,13.5,0.09,0.0,0.0,0.0,0.0,1386.0,0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00014000,2026-04-23 19:58:19+00:00,14.0,0.03,0.0,0.0,0.0,0.0,405.0,0,0.2500075,False,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00014500,2026-04-23 19:52:57+00:00,14.5,0.02,0.0,0.0,0.0,0.0,243.0,0,0.2500075,False,REGULAR,USD,call,2026-05-01,0.0,0.0
F260501C00015000,2026-04-23 17:06:42+00:00,15.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,call,2026-05-01,0.0,0.0
