contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
KMB260501C00075000,2026-04-17 14:54:46+00:00,75.0,25.0,0.0,0.0,0.0,0.0,15.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
KMB260501C00085000,2026-04-20 18:40:16+00:00,85.0,13.6,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
KMB260501C00090000,2026-04-21 19:17:54+00:00,90.0,7.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
KMB260501C00091000,2026-04-08 13:36:53+00:00,91.0,6.14,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
KMB260501C00092000,2026-04-13 19:56:43+00:00,92.0,5.9,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
KMB260501C00093000,2026-04-09 19:48:59+00:00,93.0,6.6,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
KMB260501C00094000,2026-04-08 13:50:48+00:00,94.0,4.5,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
KMB260501C00095000,2026-04-22 18:55:53+00:00,95.0,3.15,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
KMB260501C00096000,2026-04-22 16:45:13+00:00,96.0,2.9,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
KMB260501C00097000,2026-04-22 19:18:59+00:00,97.0,2.25,0.0,0.0,0.0,0.0,10.0,0,0.007822421875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
KMB260501C00098000,2026-04-22 19:17:58+00:00,98.0,1.73,0.0,0.0,0.0,0.0,6.0,0,0.0312596875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
KMB260501C00099000,2026-04-22 19:25:50+00:00,99.0,1.5,0.0,0.0,0.0,0.0,116.0,0,0.0312596875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
KMB260501C00100000,2026-04-22 18:52:53+00:00,100.0,1.02,0.0,0.0,0.0,0.0,26.0,0,0.062509375,False,REGULAR,USD,call,2026-05-01,0.0,0.0
KMB260501C00101000,2026-04-22 19:59:57+00:00,101.0,0.9,0.0,0.0,0.0,0.0,31.0,0,0.062509375,False,REGULAR,USD,call,2026-05-01,0.0,0.0
