contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
META260501C00100000,2026-04-10 14:12:09+00:00,100.0,531.3,0.0,0.0,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
META260501C00300000,2026-04-17 19:40:34+00:00,300.0,388.5,0.0,0.0,0.0,0.0,3.0,11,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
META260501C00310000,2026-04-17 14:56:40+00:00,310.0,375.98,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
META260501C00340000,2026-03-31 19:05:38+00:00,340.0,231.15,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
META260501C00350000,2026-03-26 18:23:27+00:00,350.0,198.26,0.0,0.0,0.0,0.0,,8,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
META260501C00400000,2026-04-14 15:20:38+00:00,400.0,260.0,0.0,0.0,0.0,0.0,5.0,26,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
META260501C00430000,2026-04-01 18:51:22+00:00,430.0,151.5,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
META260501C00440000,2026-04-01 18:51:22+00:00,440.0,141.65,0.0,0.0,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
META260501C00450000,2026-04-17 14:14:09+00:00,450.0,238.0,0.0,0.0,0.0,0.0,4.0,10,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
META260501C00460000,2026-03-27 18:04:10+00:00,460.0,74.05,0.0,0.0,0.0,0.0,3.0,3,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
META260501C00470000,2026-04-01 17:43:35+00:00,470.0,123.15,0.0,0.0,0.0,0.0,8.0,11,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
