contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
MRK260501C00090000,2026-04-02 15:07:10+00:00,90.0,30.83,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
MRK260501C00095000,2026-03-24 13:50:24+00:00,95.0,21.28,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
MRK260501C00100000,2026-04-16 14:11:57+00:00,100.0,17.82,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
MRK260501C00105000,2026-04-22 17:19:20+00:00,105.0,8.63,0.0,0.0,0.0,0.0,76.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
MRK260501C00106000,2026-04-22 13:43:08+00:00,106.0,7.85,0.0,0.0,0.0,0.0,40.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
MRK260501C00107000,2026-04-22 13:34:39+00:00,107.0,7.04,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
MRK260501C00109000,2026-03-25 19:24:58+00:00,109.0,12.15,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
MRK260501C00110000,2026-04-22 16:16:54+00:00,110.0,4.75,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
MRK260501C00111000,2026-04-22 18:43:34+00:00,111.0,4.55,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
MRK260501C00112000,2026-04-22 18:06:00+00:00,112.0,3.5,0.0,0.0,0.0,0.0,29.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
