contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
MSFT260508C00300000,2026-04-15 14:54:11+00:00,300.0,107.54,113.9,116.8,0.0,0.0,12.0,3,0.8825695336914061,True,REGULAR,USD,call,2026-05-08,115.35,2.8999999999999915
MSFT260508C00305000,2026-04-15 14:54:11+00:00,305.0,102.59,108.95,111.9,0.0,0.0,10.0,16,0.8554701953125,True,REGULAR,USD,call,2026-05-08,110.42500000000001,2.950000000000003
MSFT260508C00310000,2026-04-14 19:07:51+00:00,310.0,83.21,104.0,106.95,0.0,0.0,38.0,4,0.8244646459960936,True,REGULAR,USD,call,2026-05-08,105.475,2.950000000000003
MSFT260508C00315000,2026-03-30 18:37:20+00:00,315.0,51.1,99.0,102.0,0.0,0.0,,0,0.7897970239257812,True,REGULAR,USD,call,2026-05-08,100.5,3.0
MSFT260508C00320000,2026-04-16 18:19:31+00:00,320.0,99.28,94.1,97.0,0.0,0.0,168.0,62,0.7583031982421876,True,REGULAR,USD,call,2026-05-08,95.55,2.9000000000000057
MSFT260508C00325000,2026-04-21 14:04:13+00:00,325.0,99.35,89.15,92.15,0.0,0.0,1.0,19,0.7324245507812499,True,REGULAR,USD,call,2026-05-08,90.65,3.0
MSFT260508C00330000,2026-04-23 17:08:49+00:00,330.0,87.02,84.25,87.4,-15.370003,-15.011234,2.0,17,0.7135038415527344,True,REGULAR,USD,call,2026-05-08,85.825,3.1500000000000057
MSFT260508C00335000,2026-04-17 17:03:23+00:00,335.0,93.18,79.35,82.3,0.0,0.0,200.0,38,0.6755403540039064,True,REGULAR,USD,call,2026-05-08,80.82499999999999,2.950000000000003
MSFT260508C00340000,2026-04-22 14:13:17+00:00,340.0,90.85,74.5,77.35,0.0,0.0,3.0,30,0.6470982556152343,True,REGULAR,USD,call,2026-05-08,75.925,2.8499999999999943
MSFT260508C00345000,2026-04-22 14:16:23+00:00,345.0,86.33,69.65,72.6,0.0,0.0,3.0,86,0.6264685791015626,True,REGULAR,USD,call,2026-05-08,71.125,2.9499999999999886
MSFT260508C00350000,2026-04-23 14:10:35+00:00,350.0,67.5,64.9,67.75,-5.75,-7.849829,6.0,17,0.6036416589355471,True,REGULAR,USD,call,2026-05-08,66.325,2.8499999999999943
MSFT260508C00355000,2026-04-17 19:51:55+00:00,355.0,61.15,60.25,62.95,-8.199997,-11.824077,1.0,104,0.5842326733398437,True,REGULAR,USD,call,2026-05-08,61.6,2.700000000000003
MSFT260508C00360000,2026-04-23 16:22:11+00:00,360.0,60.28,55.5,58.3,-12.290001,-16.935375,15.0,202,0.5638471350097658,True,REGULAR,USD,call,2026-05-08,56.9,2.799999999999997
MSFT260508C00365000,2026-04-23 17:44:56+00:00,365.0,50.04,51.6,53.65,-18.21,-26.681316,1.0,165,0.5647016186523439,True,REGULAR,USD,call,2026-05-08,52.625,2.049999999999997
MSFT260508C00370000,2026-04-23 17:34:25+00:00,370.0,48.1,47.05,48.9,-14.720001,-23.43203,5.0,305,0.5399826275634767,True,REGULAR,USD,call,2026-05-08,47.974999999999994,1.8500000000000014
MSFT260508C00375000,2026-04-23 17:43:54+00:00,375.0,42.11,43.0,44.9,-16.05,-27.596285,21.0,212,0.5414474566650394,True,REGULAR,USD,call,2026-05-08,43.95,1.8999999999999986
MSFT260508C00380000,2026-04-23 17:43:54+00:00,380.0,38.01,38.5,40.2,-15.490002,-28.953274,28.0,291,0.512150874633789,True,REGULAR,USD,call,2026-05-08,39.35,1.7000000000000028
MSFT260508C00385000,2026-04-23 17:48:38+00:00,385.0,33.82,34.1,36.4,-16.48,-32.76342,14.0,253,0.5430343548583985,True,REGULAR,USD,call,2026-05-08,35.25,2.299999999999997
MSFT260508C00390000,2026-04-23 17:41:20+00:00,390.0,30.0,31.3,32.0,-16.830002,-35.938503,17.0,1453,0.500005,True,REGULAR,USD,call,2026-05-08,31.65,0.6999999999999993
MSFT260508C00395000,2026-04-23 17:43:54+00:00,395.0,26.36,26.95,28.35,-15.899998,-37.624226,111.0,407,0.5029956927490236,True,REGULAR,USD,call,2026-05-08,27.65,1.4000000000000021
MSFT260508C00400000,2026-04-23 18:18:55+00:00,400.0,24.6,24.35,25.15,-13.35,-35.177864,354.0,1513,0.5019581054687501,True,REGULAR,USD,call,2026-05-08,24.75,0.7999999999999972
MSFT260508C00405000,2026-04-23 18:03:08+00:00,405.0,21.55,21.3,21.9,-11.540001,-34.874588,136.0,1114,0.4926198199462891,True,REGULAR,USD,call,2026-05-08,21.6,0.5999999999999979
MSFT260508C00407500,2026-04-23 17:53:20+00:00,407.5,19.35,19.55,20.5,-11.529999,-37.33808,12.0,8,0.4922536126708985,True,REGULAR,USD,call,2026-05-08,20.025,0.9499999999999993
MSFT260508C00410000,2026-04-23 18:19:46+00:00,410.0,18.64,18.65,18.9,-10.26,-35.50173,71.0,917,0.48431912170410163,True,REGULAR,USD,call,2026-05-08,18.775,0.25
MSFT260508C00412500,2026-04-23 18:01:54+00:00,412.5,17.4,17.05,17.65,-10.300001,-37.18412,61.0,70,0.4849905017089844,True,REGULAR,USD,call,2026-05-08,17.35,0.5999999999999979
MSFT260508C00415000,2026-04-23 18:15:17+00:00,415.0,16.01,16.0,16.45,-10.879999,-40.461136,423.0,751,0.485356708984375,False,REGULAR,USD,call,2026-05-08,16.225,0.4499999999999993
MSFT260508C00417500,2026-04-23 18:15:03+00:00,417.5,14.77,14.55,15.15,-9.309999,-38.66279,78.0,63,0.4810842907714844,False,REGULAR,USD,call,2026-05-08,14.850000000000001,0.5999999999999996
MSFT260508C00420000,2026-04-23 18:17:59+00:00,420.0,13.55,13.6,14.15,-9.650001,-41.59483,724.0,1503,0.4838308453369141,False,REGULAR,USD,call,2026-05-08,13.875,0.5500000000000007
MSFT260508C00422500,2026-04-23 18:17:16+00:00,422.5,12.65,12.35,12.8,-8.300001,-39.61814,161.0,56,0.4746756634521484,False,REGULAR,USD,call,2026-05-08,12.575,0.45000000000000107
MSFT260508C00425000,2026-04-23 18:02:44+00:00,425.0,11.5,11.5,11.75,-8.85,-43.488945,305.0,875,0.4725394543457031,False,REGULAR,USD,call,2026-05-08,11.625,0.25
MSFT260508C00427500,2026-04-23 18:03:03+00:00,427.5,10.55,10.35,11.0,-7.2799997,-40.830063,183.0,123,0.4776663562011719,False,REGULAR,USD,call,2026-05-08,10.675,0.6500000000000004
MSFT260508C00430000,2026-04-23 18:15:53+00:00,430.0,9.65,9.65,9.85,-8.140001,-45.756046,966.0,1057,0.4690604852294922,False,REGULAR,USD,call,2026-05-08,9.75,0.1999999999999993
MSFT260508C00435000,2026-04-23 17:55:21+00:00,435.0,7.82,7.95,8.35,-7.28,-48.211918,253.0,343,0.471135659790039,False,REGULAR,USD,call,2026-05-08,8.15,0.39999999999999947
MSFT260508C00437500,2026-04-23 16:59:24+00:00,437.5,7.88,7.05,7.65,-5.9700003,-43.10469,7.0,46,0.4714408325195312,False,REGULAR,USD,call,2026-05-08,7.35,0.6000000000000005
MSFT260508C00440000,2026-04-23 18:16:29+00:00,440.0,6.7,6.5,6.7,-6.1000004,-47.805645,349.0,1195,0.4616142706298829,False,REGULAR,USD,call,2026-05-08,6.6,0.20000000000000018
MSFT260508C00442500,2026-04-23 18:04:49+00:00,442.5,5.98,5.75,6.3,-4.94,-45.238094,13.0,37,0.4688163470458985,False,REGULAR,USD,call,2026-05-08,6.025,0.5499999999999998
MSFT260508C00445000,2026-04-23 18:06:22+00:00,445.0,5.46,5.3,5.75,-5.45,-49.95417,183.0,542,0.4694266925048829,False,REGULAR,USD,call,2026-05-08,5.525,0.4500000000000002
MSFT260508C00447500,2026-04-23 17:46:12+00:00,447.5,4.5,4.75,5.25,-4.7799997,-51.508617,10.0,49,0.47046427978515626,False,REGULAR,USD,call,2026-05-08,5.0,0.5
MSFT260508C00450000,2026-04-23 18:03:53+00:00,450.0,4.55,4.55,4.75,-4.4700003,-49.55654,800.0,1497,0.4699149688720704,False,REGULAR,USD,call,2026-05-08,4.65,0.20000000000000018
MSFT260508C00455000,2026-04-23 17:53:03+00:00,455.0,3.45,3.45,3.9,-3.8,-52.41379,172.0,907,0.4704032452392578,False,REGULAR,USD,call,2026-05-08,3.675,0.44999999999999973
MSFT260508C00460000,2026-04-23 18:20:06+00:00,460.0,3.07,2.96,3.15,-3.1000001,-50.24311,138.0,467,0.46936565795898444,False,REGULAR,USD,call,2026-05-08,3.0549999999999997,0.18999999999999995
MSFT260508C00465000,2026-04-23 17:56:49+00:00,465.0,2.51,2.36,2.61,-2.49,-49.8,52.0,710,0.47290566162109376,False,REGULAR,USD,call,2026-05-08,2.485,0.25
MSFT260508C00470000,2026-04-23 17:57:09+00:00,470.0,2.05,1.93,2.16,-2.2,-51.764706,91.0,907,0.476567734375,False,REGULAR,USD,call,2026-05-08,2.045,0.2300000000000002
MSFT260508C00475000,2026-04-23 18:16:52+00:00,475.0,1.66,1.62,1.77,-1.67,-49.850746,89.0,500,0.4792532543945312,False,REGULAR,USD,call,2026-05-08,1.695,0.1499999999999999
MSFT260508C00480000,2026-04-23 17:48:36+00:00,480.0,1.25,1.32,1.47,-1.47,-54.044117,741.0,477,0.48389187988281257,False,REGULAR,USD,call,2026-05-08,1.395,0.1499999999999999
MSFT260508C00485000,2026-04-23 17:44:44+00:00,485.0,1.01,1.05,1.3,-1.06,-51.20773,101.0,1093,0.495122236328125,False,REGULAR,USD,call,2026-05-08,1.175,0.25
MSFT260508C00490000,2026-04-23 17:46:12+00:00,490.0,0.8,0.89,1.01,-0.92,-53.488373,56.0,870,0.4924367163085938,False,REGULAR,USD,call,2026-05-08,0.95,0.12
MSFT260508C00495000,2026-04-23 17:28:52+00:00,495.0,0.78,0.67,0.93,-0.58000004,-42.64706,14.0,199,0.5070850073242188,False,REGULAR,USD,call,2026-05-08,0.8,0.26
MSFT260508C00500000,2026-04-23 17:56:55+00:00,500.0,0.67,0.63,0.8,-0.53000003,-44.166668,308.0,920,0.5039112109375,False,REGULAR,USD,call,2026-05-08,0.7150000000000001,0.17000000000000004
MSFT260508C00505000,2026-04-23 16:45:28+00:00,505.0,0.68,0.51,0.72,-0.29000002,-29.896908,51.0,96,0.5112353564453125,False,REGULAR,USD,call,2026-05-08,0.615,0.20999999999999996
MSFT260508C00510000,2026-04-23 17:56:33+00:00,510.0,0.51,0.43,0.57,-0.29000002,-36.25,22.0,94,0.5134326000976561,False,REGULAR,USD,call,2026-05-08,0.5,0.13999999999999996
MSFT260508C00515000,2026-04-23 18:15:16+00:00,515.0,0.41,0.28,0.53,-0.15,-26.785715,24.0,64,0.51562984375,False,REGULAR,USD,call,2026-05-08,0.405,0.25
MSFT260508C00520000,2026-04-23 18:15:57+00:00,520.0,0.42,0.32,0.49,-0.099999994,-19.230768,20.0,55,0.5344284838867188,False,REGULAR,USD,call,2026-05-08,0.405,0.16999999999999998
MSFT260508C00525000,2026-04-23 18:07:32+00:00,525.0,0.4,0.25,0.39,0.01000002,2.564108,672.0,850,0.5339402075195312,False,REGULAR,USD,call,2026-05-08,0.32,0.14
MSFT260508C00530000,2026-04-23 17:17:42+00:00,530.0,0.25,0.2,0.38,-0.08000001,-24.242426,1.0,55,0.543949873046875,False,REGULAR,USD,call,2026-05-08,0.29000000000000004,0.18
MSFT260508C00535000,2026-04-23 18:05:53+00:00,535.0,0.16,0.18,0.28,-0.15,-48.3871,2.0,30,0.543949873046875,False,REGULAR,USD,call,2026-05-08,0.23,0.10000000000000003
MSFT260508C00540000,2026-04-22 14:11:00+00:00,540.0,0.27,0.01,0.47,0.0,0.0,1.0,3,0.5639692041015626,False,REGULAR,USD,call,2026-05-08,0.24,0.45999999999999996
MSFT260508C00545000,2026-04-23 18:07:03+00:00,545.0,0.2,0.15,0.24,-0.059999987,-23.076918,11.0,103,0.5649457568359376,False,REGULAR,USD,call,2026-05-08,0.195,0.09
MSFT260508C00550000,2026-04-23 17:49:10+00:00,550.0,0.17,0.12,0.33,-0.030000001,-15.0,38.0,7,0.5918009570312501,False,REGULAR,USD,call,2026-05-08,0.225,0.21000000000000002
MSFT260508C00555000,2026-04-20 14:27:36+00:00,555.0,0.29,0.01,0.42,0.0,0.0,3.0,28,0.6044961425781252,False,REGULAR,USD,call,2026-05-08,0.215,0.41
