contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
SPGI260501C00425000,2026-04-13 16:41:26+00:00,425.0,15.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00427500,2026-04-14 15:10:18+00:00,427.5,14.4,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00430000,2026-04-21 13:46:08+00:00,430.0,25.5,0.0,0.0,0.0,0.0,46.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00432500,2026-04-15 19:37:44+00:00,432.5,14.1,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00435000,2026-04-21 14:05:45+00:00,435.0,22.65,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00437500,2026-04-22 19:40:55+00:00,437.5,19.43,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00440000,2026-04-22 19:00:27+00:00,440.0,17.5,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00445000,2026-04-22 13:50:53+00:00,445.0,18.5,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00450000,2026-04-22 14:03:57+00:00,450.0,17.29,0.0,0.0,0.0,0.0,1.0,0,0.0039162109375,False,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00455000,2026-04-22 19:17:09+00:00,455.0,9.7,0.0,0.0,0.0,0.0,24.0,0,0.015634843750000002,False,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00460000,2026-04-22 14:04:50+00:00,460.0,10.1,0.0,0.0,0.0,0.0,3.0,0,0.0312596875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00465000,2026-04-22 15:19:37+00:00,465.0,6.57,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00470000,2026-04-22 17:01:50+00:00,470.0,5.1,0.0,0.0,0.0,0.0,10.0,0,0.062509375,False,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00475000,2026-04-22 19:23:39+00:00,475.0,3.37,0.0,0.0,0.0,0.0,3.0,0,0.062509375,False,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00480000,2026-04-22 17:39:15+00:00,480.0,2.7,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00485000,2026-04-21 13:56:02+00:00,485.0,2.21,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
SPGI260501C00490000,2026-04-02 13:30:04+00:00,490.0,1.9,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,call,2026-05-01,0.0,0.0
