contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
TSLA260424C00080000,2026-04-17 17:47:53+00:00,80.0,321.95,0.0,0.0,0.0,0.0,9.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00090000,2026-04-20 19:16:42+00:00,90.0,301.44,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00100000,2026-04-14 16:37:50+00:00,100.0,266.82,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00110000,2026-04-06 19:40:42+00:00,110.0,242.25,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00120000,2026-04-10 16:07:11+00:00,120.0,224.29,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00150000,2026-04-20 14:09:18+00:00,150.0,244.92,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00170000,2026-04-17 19:03:35+00:00,170.0,232.01,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00180000,2026-04-17 14:14:34+00:00,180.0,215.39,0.0,0.0,0.0,0.0,26.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00190000,2026-03-25 13:58:46+00:00,190.0,203.34,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00200000,2026-04-17 19:59:00+00:00,200.0,200.66,0.0,0.0,0.0,0.0,24.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00210000,2026-04-20 14:32:24+00:00,210.0,183.65,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00220000,2026-04-17 17:58:42+00:00,220.0,182.12,0.0,0.0,0.0,0.0,480.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00230000,2026-04-17 19:12:47+00:00,230.0,170.81,0.0,0.0,0.0,0.0,24.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00240000,2026-04-20 19:08:46+00:00,240.0,150.85,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00250000,2026-04-20 15:39:16+00:00,250.0,141.57,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00255000,2026-04-17 19:21:57+00:00,255.0,147.45,0.0,0.0,0.0,0.0,77.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00260000,2026-04-17 19:34:27+00:00,260.0,142.7,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00265000,2026-04-20 13:31:02+00:00,265.0,140.45,0.0,0.0,0.0,0.0,12.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00270000,2026-04-17 19:22:43+00:00,270.0,132.3,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00275000,2026-04-17 19:05:55+00:00,275.0,126.35,0.0,0.0,0.0,0.0,7.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00280000,2026-04-20 14:59:11+00:00,280.0,110.95,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00282500,2026-04-15 14:53:45+00:00,282.5,96.67,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00285000,2026-04-17 15:20:25+00:00,285.0,120.45,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00287500,2026-04-17 14:36:09+00:00,287.5,110.75,0.0,0.0,0.0,0.0,22.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00290000,2026-04-20 19:06:02+00:00,290.0,101.4,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00292500,2026-04-16 19:50:00+00:00,292.5,98.95,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00295000,2026-04-20 15:08:34+00:00,295.0,94.34,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00297500,2026-04-14 19:22:05+00:00,297.5,68.56,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00300000,2026-04-20 19:10:33+00:00,300.0,91.3,0.0,0.0,0.0,0.0,23.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00305000,2026-04-20 14:18:48+00:00,305.0,88.25,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00307500,2026-04-20 14:18:48+00:00,307.5,85.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00310000,2026-04-20 14:51:09+00:00,310.0,81.6,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00312500,2026-04-14 13:50:08+00:00,312.5,50.25,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00315000,2026-04-20 18:49:14+00:00,315.0,76.98,0.0,0.0,0.0,0.0,40.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00320000,2026-04-20 19:18:45+00:00,320.0,72.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00322500,2026-04-20 13:33:49+00:00,322.5,81.7,0.0,0.0,0.0,0.0,23.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00325000,2026-04-20 19:50:55+00:00,325.0,68.55,0.0,0.0,0.0,0.0,168.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00327500,2026-04-17 19:51:28+00:00,327.5,73.1,0.0,0.0,0.0,0.0,18.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00330000,2026-04-20 19:10:57+00:00,330.0,61.53,0.0,0.0,0.0,0.0,23.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00332500,2026-04-17 17:26:51+00:00,332.5,69.19,0.0,0.0,0.0,0.0,61.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00335000,2026-04-20 18:37:17+00:00,335.0,57.55,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00337500,2026-04-20 18:55:10+00:00,337.5,55.7,0.0,0.0,0.0,0.0,19.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00340000,2026-04-20 19:38:32+00:00,340.0,53.86,0.0,0.0,0.0,0.0,72.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00342500,2026-04-20 19:40:17+00:00,342.5,51.61,0.0,0.0,0.0,0.0,15.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00345000,2026-04-20 19:35:14+00:00,345.0,48.71,0.0,0.0,0.0,0.0,274.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00347500,2026-04-20 19:54:53+00:00,347.5,46.6,0.0,0.0,0.0,0.0,40.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00350000,2026-04-20 19:54:39+00:00,350.0,44.05,0.0,0.0,0.0,0.0,536.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00352500,2026-04-20 19:59:29+00:00,352.5,41.35,0.0,0.0,0.0,0.0,167.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00355000,2026-04-20 19:53:55+00:00,355.0,39.6,0.0,0.0,0.0,0.0,254.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00357500,2026-04-20 19:54:39+00:00,357.5,37.2,0.0,0.0,0.0,0.0,105.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00360000,2026-04-20 19:57:41+00:00,360.0,34.84,0.0,0.0,0.0,0.0,3227.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00362500,2026-04-20 19:58:51+00:00,362.5,32.45,0.0,0.0,0.0,0.0,758.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
TSLA260424C00365000,2026-04-20 19:55:23+00:00,365.0,30.4,0.0,0.0,0.0,0.0,2895.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-04-24,0.0,0.0
