contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
TWLO260501C00107000,2026-04-16 17:04:27+00:00,107.0,31.7,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
TWLO260501C00108000,2026-04-16 17:04:27+00:00,108.0,30.8,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
TWLO260501C00109000,2026-04-16 15:00:32+00:00,109.0,29.56,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
TWLO260501C00110000,2026-04-20 13:57:19+00:00,110.0,33.05,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
TWLO260501C00111000,2026-04-10 18:24:10+00:00,111.0,13.23,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
TWLO260501C00112000,2026-04-20 13:57:19+00:00,112.0,31.06,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
TWLO260501C00114000,2026-04-13 13:30:22+00:00,114.0,11.56,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
TWLO260501C00115000,2026-04-10 18:30:14+00:00,115.0,10.99,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
TWLO260501C00117000,2026-04-15 15:31:45+00:00,117.0,17.94,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
TWLO260501C00118000,2026-04-15 15:31:28+00:00,118.0,17.23,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
