contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
UPS260501C00060000,2026-04-14 13:31:25+00:00,60.0,40.26,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00080000,2026-04-22 16:11:41+00:00,80.0,25.85,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00086000,2026-04-10 19:01:25+00:00,86.0,16.55,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00087000,2026-04-22 19:17:05+00:00,87.0,18.99,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00088000,2026-04-22 19:17:05+00:00,88.0,18.09,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00089000,2026-04-15 18:30:06+00:00,89.0,14.41,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00090000,2026-04-22 15:46:49+00:00,90.0,16.32,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00091000,2026-04-22 15:46:49+00:00,91.0,15.37,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00092000,2026-03-26 18:54:49+00:00,92.0,8.71,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00093000,2026-04-22 19:17:33+00:00,93.0,13.27,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00094000,2026-04-22 19:17:33+00:00,94.0,12.37,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00095000,2026-04-15 17:30:39+00:00,95.0,9.27,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00096000,2026-04-16 18:45:46+00:00,96.0,10.45,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00097000,2026-04-22 16:01:02+00:00,97.0,9.56,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00098000,2026-04-22 14:48:47+00:00,98.0,9.04,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00099000,2026-04-16 15:24:09+00:00,99.0,8.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00100000,2026-04-22 15:41:24+00:00,100.0,7.15,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00101000,2026-04-22 19:15:07+00:00,101.0,6.73,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
UPS260501C00102000,2026-04-22 17:02:50+00:00,102.0,5.78,0.0,0.0,0.0,0.0,526.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-01,0.0,0.0
