contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,mid,spread
ZS260529C00060000,2026-04-30 14:29:44+00:00,60.0,69.55,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29,0.0,0.0
ZS260529C00075000,2026-04-16 18:58:52+00:00,75.0,59.75,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29,0.0,0.0
ZS260529C00100000,2026-05-14 13:44:36+00:00,100.0,47.78,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29,0.0,0.0
ZS260529C00105000,2026-05-18 13:56:10+00:00,105.0,65.94,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29,0.0,0.0
ZS260529C00110000,2026-04-13 16:43:51+00:00,110.0,19.74,50.55,53.0,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29,51.775,2.450000000000003
ZS260529C00115000,2026-04-21 14:00:34+00:00,115.0,32.23,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29,0.0,0.0
ZS260529C00116000,2026-04-29 17:44:45+00:00,116.0,22.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29,0.0,0.0
ZS260529C00117000,2026-04-21 13:53:22+00:00,117.0,28.95,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29,0.0,0.0
ZS260529C00118000,2026-05-04 17:50:37+00:00,118.0,28.25,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29,0.0,0.0
ZS260529C00120000,2026-04-16 13:44:52+00:00,120.0,23.4,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29,0.0,0.0
ZS260529C00121000,2026-05-15 19:47:00+00:00,121.0,41.17,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29,0.0,0.0
ZS260529C00123000,2026-04-15 16:53:01+00:00,123.0,17.0,38.3,40.8,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29,39.55,2.5
